customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00001,Female,1,Yes,Yes,72,No,DSL,Yes,No,One year,Mailed check,73.53,5294.21,0
CUST00002,Female,0,No,No,55,No,DSL,Yes,No,Two year,Electronic check,64.65,3555.94,1
CUST00003,Female,0,No,No,5,Yes,Fiber optic,No,No,Month-to-month,Credit card,68.12,340.62,0
CUST00004,Female,1,Yes,No,52,No,None,No internet service,No internet service,One year,Electronic check,20.73,1078.12,0
CUST00005,Male,1,No,Yes,25,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,82.78,2069.47,1
CUST00006,Female,1,Yes,Yes,13,No,None,No internet service,No internet service,One year,Credit card,20.48,266.26,1
CUST00007,Male,1,Yes,No,10,No,None,No internet service,No internet service,Two year,Mailed check,16.66,166.57,1
CUST00008,Female,0,Yes,Yes,33,No,DSL,Yes,No,Two year,Mailed check,76.3,2518.03,1
CUST00009,Male,0,Yes,No,16,Yes,Fiber optic,No,Yes,One year,Mailed check,118.09,1889.44,1
CUST00010,Female,1,Yes,Yes,46,No,Fiber optic,No,No,One year,Mailed check,80.01,3680.57,1
CUST00011,Male,0,Yes,Yes,67,Yes,None,No internet service,No internet service,Month-to-month,Credit card,30.02,2011.24,1
CUST00012,Male,1,Yes,Yes,27,Yes,DSL,No,No,Month-to-month,Credit card,63.59,1717.05,0
CUST00013,Female,1,Yes,Yes,46,Yes,DSL,Yes,No,Month-to-month,Electronic check,79.87,3673.93,0
CUST00014,Female,0,Yes,Yes,56,No,Fiber optic,Yes,Yes,One year,Electronic check,81.46,4561.7,0
CUST00015,Female,0,Yes,No,30,Yes,DSL,Yes,Yes,Month-to-month,Electronic check,47.41,1422.16,0
CUST00016,Male,0,Yes,No,21,Yes,DSL,Yes,No,One year,Credit card,56.86,1194.09,0
CUST00017,Male,0,Yes,No,29,Yes,DSL,No,No,One year,Mailed check,35.36,1025.41,0
CUST00018,Female,1,No,No,17,Yes,DSL,Yes,Yes,Month-to-month,Mailed check,68.29,1160.99,1
CUST00019,Female,1,Yes,No,15,No,None,No internet service,No internet service,Two year,Credit card,46.7,700.47,0
CUST00020,Male,1,No,Yes,39,Yes,Fiber optic,Yes,Yes,Two year,Mailed check,66.3,2585.77,1
CUST00021,Male,1,No,No,58,Yes,Fiber optic,No,No,Two year,Credit card,112.99,6553.6,1
CUST00022,Male,0,No,Yes,46,Yes,None,No internet service,No internet service,Month-to-month,Bank transfer,36.39,1674.03,0
CUST00023,Male,0,No,No,39,No,None,No internet service,No internet service,One year,Bank transfer,44.54,1737.16,1
CUST00024,Male,1,No,No,56,Yes,DSL,Yes,No,Two year,Electronic check,62.81,3517.15,0
CUST00025,Male,1,Yes,No,13,No,Fiber optic,Yes,Yes,Two year,Electronic check,114.22,1484.86,0
CUST00026,Male,1,No,No,58,No,Fiber optic,No,Yes,Two year,Mailed check,93.43,5418.81,1
CUST00027,Male,1,No,No,6,No,Fiber optic,Yes,Yes,One year,Credit card,76.57,459.39,1
CUST00028,Male,0,Yes,No,65,No,None,No internet service,No internet service,One year,Mailed check,18.12,1177.98,0
CUST00029,Female,0,No,No,25,No,Fiber optic,No,No,One year,Electronic check,60.26,1506.59,1
CUST00030,Female,0,No,No,66,Yes,DSL,No,No,One year,Mailed check,72.38,4777.16,1
CUST00031,Female,1,Yes,No,33,No,Fiber optic,No,No,Two year,Bank transfer,103.76,3423.97,0
CUST00032,Male,1,No,Yes,6,Yes,Fiber optic,Yes,No,One year,Mailed check,100.46,602.77,1
CUST00033,Female,0,No,Yes,29,No,DSL,Yes,Yes,Month-to-month,Bank transfer,79.74,2312.57,0
CUST00034,Male,1,No,No,51,No,DSL,Yes,No,Two year,Mailed check,30.53,1557.17,0
CUST00035,Female,0,No,No,24,No,Fiber optic,No,Yes,Two year,Credit card,72.07,1729.61,1
CUST00036,Female,0,Yes,No,61,Yes,Fiber optic,No,No,Two year,Mailed check,58.68,3579.24,0
CUST00037,Female,1,Yes,Yes,27,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,106.56,2877.02,1
CUST00038,Female,0,Yes,Yes,7,Yes,None,No internet service,No internet service,Two year,Bank transfer,33.95,237.62,0
CUST00039,Female,0,No,No,15,Yes,DSL,Yes,No,One year,Credit card,33.24,498.67,0
CUST00040,Male,1,Yes,Yes,25,Yes,None,No internet service,No internet service,Month-to-month,Mailed check,23.64,590.9,0
CUST00041,Male,1,Yes,Yes,70,No,Fiber optic,No,No,Month-to-month,Credit card,87.94,6155.8,0
CUST00042,Male,0,No,Yes,25,Yes,DSL,No,Yes,Two year,Electronic check,60.67,1516.74,1
CUST00043,Male,0,No,No,49,No,Fiber optic,Yes,Yes,Two year,Bank transfer,54.9,2690.27,0
CUST00044,Female,1,No,No,35,No,None,No internet service,No internet service,One year,Credit card,43.81,1533.46,1
CUST00045,Male,0,Yes,Yes,54,No,DSL,No,Yes,One year,Electronic check,77,4157.97,1
CUST00046,Female,1,No,No,44,No,Fiber optic,No,No,Month-to-month,Mailed check,98.02,4312.69,1
CUST00047,Female,0,No,Yes,65,Yes,None,No internet service,No internet service,Month-to-month,Electronic check,36.19,2352.49,0
CUST00048,Male,1,No,No,57,Yes,Fiber optic,Yes,No,One year,Bank transfer,54.88,3127.94,1
CUST00049,Female,0,No,Yes,43,No,DSL,No,No,One year,Credit card,41.84,1798.95,0
CUST00050,Male,0,No,No,13,No,None,No internet service,No internet service,Month-to-month,Credit card,40.75,529.76,0
CUST00051,Female,0,No,No,40,Yes,Fiber optic,No,No,Month-to-month,Mailed check,101.82,4072.86,0
CUST00052,Male,1,No,No,19,No,None,No internet service,No internet service,One year,Credit card,31.23,593.38,1
CUST00053,Female,0,No,Yes,38,Yes,DSL,Yes,No,Two year,Mailed check,73.7,2800.7,1
CUST00054,Male,1,Yes,Yes,27,Yes,Fiber optic,Yes,No,Month-to-month,Credit card,109.92,2967.83,0
CUST00055,Female,1,No,No,51,Yes,DSL,No,Yes,One year,Bank transfer,42.66,2175.75,1
CUST00056,Female,1,Yes,Yes,28,Yes,None,No internet service,No internet service,One year,Electronic check,34.77,973.52,0
CUST00057,Male,0,No,No,69,Yes,Fiber optic,Yes,No,Month-to-month,Credit card,90.27,6228.75,1
CUST00058,Male,1,Yes,Yes,57,No,None,No internet service,No internet service,Two year,Credit card,25.65,1462.31,1
CUST00059,Female,0,No,No,37,Yes,DSL,No,No,One year,Electronic check,47.27,1749.07,1
CUST00060,Male,1,No,No,70,No,DSL,Yes,Yes,Month-to-month,Electronic check,74.17,5192.22,0
CUST00061,Male,0,Yes,Yes,27,Yes,DSL,Yes,No,One year,Bank transfer,55.43,1496.6,1
CUST00062,Male,0,No,Yes,59,No,Fiber optic,Yes,No,Two year,Bank transfer,73.83,4355.86,0
CUST00063,Female,0,Yes,Yes,19,No,DSL,No,Yes,Two year,Bank transfer,31.5,598.55,1
CUST00064,Male,0,Yes,No,31,Yes,None,No internet service,No internet service,One year,Mailed check,36.95,1145.4,1
CUST00065,Female,1,No,No,19,No,Fiber optic,Yes,Yes,One year,Mailed check,99.17,1884.14,1
CUST00066,Male,0,No,Yes,11,Yes,DSL,No,Yes,Month-to-month,Mailed check,40.35,443.89,1
CUST00067,Female,0,No,Yes,23,No,None,No internet service,No internet service,Two year,Electronic check,48.86,1123.77,1
CUST00068,Female,1,No,No,33,No,Fiber optic,No,No,One year,Credit card,53.7,1772.07,0
CUST00069,Female,0,Yes,Yes,3,Yes,DSL,Yes,Yes,Two year,Electronic check,51.6,154.81,1
CUST00070,Female,0,No,Yes,45,No,None,No internet service,No internet service,Two year,Mailed check,22.74,1023.48,0
CUST00071,Male,0,Yes,No,52,Yes,Fiber optic,No,Yes,Month-to-month,Electronic check,99.42,5169.97,1
CUST00072,Male,1,No,No,58,No,DSL,No,Yes,Two year,Mailed check,70.41,4083.7,1
CUST00073,Male,1,No,No,0,Yes,DSL,No,No,One year,Electronic check,56.53,0,0
